id,name,geocode,rating,address,phone_number,website
ChIJn0O2rIpZwokRAbjBjeDp_oU,Sweet Lily Natural Nail Spa,"40.7192683,-74.0065046",4.3,"222 W Broadway, New York, NY 10013, USA",+1 212-925-5441,http://www.sweetlilyspa.com/
ChIJhTD3ZR9awokRGJtHRSMAoN4,Rainbow East Nails & Spa,"40.7156385,-74.00719459999999",4.2,"179 Church St B, New York, NY 10007, USA",+1 212-608-2636,
ChIJWyxHEB9awokRuWA90Qkzqfk,Tenoverten Nail Salon,"40.716019,-74.008597",4.4,"112 Reade St, New York, NY 10013, USA",+1 212-406-1010,http://tenoverten.com/
ChIJT7RagRdawokRbhwF2HgrJqQ,Ann Huang Nail Salon,"40.7090774,-74.00906880000001",3.2,"24 Maiden Ln #2, New York, NY 10038, USA",+1 212-385-1424,
ChIJ6wuJBoZZwokRDYlWU9NkpSc,Valley Nails,"40.7218538,-73.9943931",4.5,"198 Elizabeth St, New York, NY 10012, USA",+1 212-274-8985,http://www.valleynail.com/
ChIJ3wT3IIZZwokRYmzs09ori3M,Marie Nails,"40.7207428,-73.99459569999999",3.9,"166 Elizabeth St, New York, NY 10012, USA",+1 646-912-9655,http://marienails.com/
ChIJHWn75IdZwokR8fXImU5y_Oo,Vanity Projects,"40.717909,-73.994222",3.9,"99 Chrystie St, 2F, New York, NY 10002, United States",+1 646-410-2928,http://www.vanityprojectsnyc.com/
ChIJdR6Ag4lZwokROUE0JHqDDpw,Paintbox,"40.7199846,-73.99996809999999",4.3,"17 Crosby St, New York, NY 10013, USA",+1 212-219-2412,http://www.paint-box.com/
ChIJE_YlyopZwokRXaW66J8CBKs,Yaya Nail Salon,"40.7202037,-74.0061755",3.6,"8 Beach St, New York, NY 10013, USA",+1 212-941-7538,
ChIJC5spwRdawokRyWFRHHh0oTQ,Hana Nails,"40.70777650000001,-74.0077424",3.6,"75 Maiden Ln, New York, NY 10038, USA",+1 212-482-2746,
ChIJRwSAOiRawokRD2YPjFBM00I,Good Choice For Nails,"40.7120145,-73.99844860000002",3.8,"43 Madison St, New York, NY 10038, USA",+1 212-964-5515,
ChIJx6A0DBhawokR4k0ngdP0XXs,tenoverten,"40.7100732,-74.0070554",4.5,"121 Fulton St, New York, NY 10038, USA",+1 212-619-1010,http://www.tenoverten.com/
ChIJbYGFhYpZwokRMXI-U268HvE,Jin Soon Natural Hand-Foot Spa,"40.7191432,-74.004077",4.5,"37 Walker St, New York, NY 10013, USA",+1 212-941-4663,http://www.jinsoon.com/
